地区,2018 ,2017 ,2016 ,2015 ,2014 ,2013 
北京,0.49 ,0.54 ,0.53 ,0.53 ,0.60 ,0.58 
天津,0.46 ,0.43 ,0.45 ,0.46 ,0.50 ,0.53 
河北,0.45 ,0.49 ,0.54 ,0.58 ,0.65 ,0.71 
山西,0.55 ,0.56 ,0.60 ,0.64 ,0.70 ,0.73 
内蒙古,0.54 ,0.55 ,0.61 ,0.63 ,0.63 ,0.64 
辽宁,0.50 ,0.51 ,0.56 ,0.54 ,0.59 ,0.62 
吉林,0.54 ,0.53 ,0.59 ,0.57 ,0.64 ,0.61 
黑龙江,0.58 ,0.57 ,0.60 ,0.62 ,0.68 ,0.71 
上海,0.33 ,0.35 ,0.39 ,0.42 ,0.44 ,0.45 
江苏,0.60 ,0.63 ,0.69 ,0.71 ,0.81 ,0.85 
浙江,0.44 ,0.45 ,0.49 ,0.50 ,0.57 ,0.55 
安徽,0.78 ,0.86 ,0.91 ,0.94 ,1.04 ,1.04 
福建,0.52 ,0.55 ,0.60 ,0.65 ,0.72 ,0.76 
江西,0.50 ,0.45 ,0.45 ,0.48 ,0.58 ,0.63 
山东,0.45 ,0.47 ,0.51 ,0.52 ,0.66 ,0.67 
河南,0.64 ,0.68 ,0.76 ,0.82 ,0.89 ,0.94 
湖北,0.58 ,0.61 ,0.67 ,0.75 ,0.82 ,0.85 
湖南,0.48 ,0.51 ,0.57 ,0.61 ,0.71 ,0.72 
广东,0.46 ,0.49 ,0.53 ,0.55 ,0.61 ,0.60 
广西,0.56 ,0.56 ,0.63 ,0.66 ,0.76 ,0.76 
海南,0.55 ,0.57 ,0.59 ,0.62 ,0.68 ,0.77 
重庆,0.66 ,0.68 ,0.71 ,0.74 ,0.80 ,0.80 
四川,0.59 ,0.59 ,0.63 ,0.65 ,0.69 ,0.69 
贵州,0.75 ,0.81 ,0.85 ,0.91 ,0.81 ,0.83 
云南,0.59 ,0.64 ,0.71 ,0.71 ,0.73 ,0.67 
西藏,0.76 ,0.65 ,0.50 ,0.37 ,0.41 ,0.27 
陕西,0.59 ,0.59 ,0.63 ,0.69 ,0.75 ,0.74 
甘肃,0.59 ,0.51 ,0.53 ,0.55 ,0.46 ,0.46 
青海,0.69 ,0.70 ,0.54 ,0.43 ,0.41 ,0.34 
宁夏,0.64 ,0.56 ,0.66 ,0.64 ,0.58 ,0.69 
新疆,0.45 ,0.52 ,0.64 ,0.78 ,0.73 ,0.78 
